source,destination
https://experienceleague.adobe.com/docs/journeys/using/alpha/alpha-events.html,https://experienceleague.adobe.com/docs/journeys/using/events-journeys/about-events/about-events.html
https://experienceleague.adobe.com/docs/journeys/using/events-journeys/about-events.html,https://experienceleague.adobe.com/docs/journeys/using/events-journeys/about-events/about-events.html
https://experienceleague.adobe.com/docs/journeys/using/events-journeys/experience-event-schema.html,https://experienceleague.adobe.com/docs/journeys/using/events-journeys/about-events/experience-event-schema.html
https://experienceleague.adobe.com/docs/journeys/using/events-journeys/additional-steps-to-send-events-to-journey-orchestration.html,https://experienceleague.adobe.com/docs/journeys/using/events-journeys/about-events/additional-steps-to-send-events-to-journey-orchestration.html
https://experienceleague.adobe.com/docs/offer-decisioning.html,https://experienceleague.adobe.com/docs/journey-optimizer/using/offer-decisioniong/get-started-decision/starting-offer-decisioning.html
